t=19296.48s | axis_2 | normal → error | residual=30.91
t=19298.42s | axis_2 | error → normal | residual=-7.91
t=19308.12s | axis_2 | normal → alert | residual=11.71
t=19310.07s | axis_2 | alert → normal | residual=1.16
t=19959.69s | axis_2 | normal → alert | residual=15.57
t=19961.60s | axis_2 | alert → normal | residual=-4.05
t=20068.49s | axis_2 | normal → alert | residual=15.96
t=20070.35s | axis_2 | alert → error | residual=22.29
t=20072.27s | axis_2 | error → normal | residual=-5.39
t=20113.91s | axis_2 | normal → alert | residual=17.53
t=20115.79s | axis_2 | alert → normal | residual=2.60
t=20117.73s | axis_2 | normal → alert | residual=12.34
t=20119.64s | axis_2 | alert → normal | residual=-6.82
t=20163.26s | axis_2 | normal → error | residual=37.59
t=20165.19s | axis_2 | error → normal | residual=-8.05
t=20207.09s | axis_2 | normal → alert | residual=11.79
t=20209.05s | axis_2 | alert → normal | residual=1.30
t=20214.67s | axis_2 | normal → alert | residual=15.93
t=20216.56s | axis_2 | alert → normal | residual=-10.21
t=20220.37s | axis_2 | normal → alert | residual=11.56
t=20222.38s | axis_2 | alert → normal | residual=1.00
t=20279.78s | axis_2 | normal → alert | residual=17.63
t=20281.69s | axis_2 | alert → normal | residual=1.31
t=20317.37s | axis_2 | normal → error | residual=26.28
t=20319.26s | axis_2 | error → normal | residual=-8.01
t=20384.11s | axis_2 | normal → error | residual=39.70
t=20386.01s | axis_2 | error → normal | residual=2.88
t=20412.72s | axis_2 | normal → alert | residual=18.78
t=20414.74s | axis_2 | alert → normal | residual=1.46
t=20432.18s | axis_2 | normal → alert | residual=14.32
t=20437.72s | axis_2 | alert → normal | residual=-4.17
t=20473.89s | axis_2 | normal → alert | residual=14.67
t=20477.74s | axis_2 | alert → normal | residual=0.85
t=20479.80s | axis_2 | normal → alert | residual=12.53
t=20481.73s | axis_2 | alert → normal | residual=-0.87
t=20513.82s | axis_2 | normal → alert | residual=10.69
t=20515.79s | axis_2 | alert → normal | residual=-3.24
t=20523.40s | axis_2 | normal → alert | residual=18.09
t=20525.29s | axis_2 | alert → normal | residual=-2.59
t=20633.34s | axis_2 | normal → error | residual=32.06
t=20635.27s | axis_2 | error → normal | residual=1.50
